Genus,Kingdom,Phylum,Class,Order,Family,Genus1
Empedobacter,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter
Enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia
Eubacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
Exiguobacterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_Sedis_XII,Exiguobacterium
Faecalibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
Faecalicoccus,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus
Faecalitalea,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
Finegoldia,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Finegoldia
Flavitalea,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavitalea
Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Flavonifractor,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor
Fusicatenibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter
Fusobacterium,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Gemella,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_Sedis_XI,Gemella
Gemmiger,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger
Gordonibacter,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Gordonibacter
Gp6,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unclassified,Unclassified,Gp6
Haemophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Halomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Holdemania,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania
Howardella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella
Hungatella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella
Hydrogenoanaerobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium
Intestinibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter
Intestinimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas
Jeotgalibaca,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca
Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella
Kocuria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
Lachnospiracea_incertae_sedis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Lactococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Leadbetterella,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella
Leptotrichia,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia
Leucobacter,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter
Leuconostoc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
Litorilinea,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea
Luteimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
Lysinibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
Megamonas,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas
Megasphaera,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
Methylocaldum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum
Mitsuokella,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Mitsuokella
Mogibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Mogibacterium
Morganella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
Mycoplasma,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
Nannocystis,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
Neisseria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Odoribacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
Olsenella,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
Oribacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium
Oscillibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Oscillochloris,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris
Oxalobacter,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter
Paenibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Paenochrobactrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Paenochrobactrum
Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Paracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Paraeggerthella,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Paraeggerthella
Paraprevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
Parascardovia,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia
Parasutterella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
Parvimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Parvimonas
Pediococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Peptoniphilus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus
Peptostreptococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
Petrimonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas
Phascolarctobacterium,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium
Pirellula,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula
Planctomicrobium,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomicrobium
Porphyromonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Povalibacter,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Povalibacter
Prevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Proteus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
Providencia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia
Pseudochrobactrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
Pseudoflavonifractor,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor
Pseudofulvimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudofulvimonas
Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Pseudoramibacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter
Pseudoxanthomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Pyramidobacter,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter
Romboutsia,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
Roseburia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Roseiflexus,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Roseiflexus
Rothia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
Ruminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Ruminococcus2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus2
Saccharibacteria_genera_incertae_sedis,Bacteria,Candidatus_Saccharibacteria,Unclassified,Unclassified,Unclassified,Saccharibacteria_genera_incertae_sedis
Scardovia,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia
Schlegelella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella
Senegalimassilia,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Senegalimassilia
Slackia,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia
Solirubrobacter,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
Solobacterium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium
Sorangium,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium
Sphaerisporangium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Sphaerisporangium
Sphingobacterium,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Sporobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Stenotrophomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
Stomatobaculum,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum
Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Streptomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Streptophyta,Bacteria,Cyanobacteria,Chloroplast,Unclassified,Chloroplast,Streptophyta
Subdivision3_genera_incertae_sedis,Bacteria,Verrucomicrobia,Subdivision3,Unclassified,Unclassified,Subdivision3_genera_incertae_sedis
Succinivibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
Sutterella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
Synergistes,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes
Terrisporobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter
Thauera,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Thauera
Thermobispora,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermobispora
Thermopolyspora,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Thermopolyspora
Truepera,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
Turicibacter,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Uruburuella,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Uruburuella
Veillonella,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella
Victivallis,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis
Weissella,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella
WPS-1_genera_incertae_sedis,Bacteria,candidate_division_WPS-1,Unclassified,Unclassified,Unclassified,WPS-1_genera_incertae_sedis
Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Others(<0.5%),Others(<0.6%),Others(<0.7%),Others(<0.8%),Others(<0.9%),Others(<0.10%),Others(<0.11%)
