Row.names,ID,Pathway.Identifier,Pathway.1,big.annotion,small.annotion,Sample1..51360.,Sample2..1171979.,Pvalue,Qvalue,Pathway.ID,Richfactor,group
"Alanine, aspartate and glutamate metabolism",250,map00250,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism,263,1927,5.41E-09,5.59E-07,ko00250,0.136481578,Addiciton.vs.Withdrawal
Amino sugar and nucleotide sugar metabolism,520,map00520,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism,441,3433,2.48E-10,3.84E-08,ko00520,0.128459074,Addiciton.vs.Withdrawal
AMPK signaling pathway,4152,hsa04152,AMPK signaling pathway,Environmental Information Processing,Signal transduction,23,113,0.000422118,0.005689415,ko04152,0.203539823,Addiciton.vs.Withdrawal
Arginine biosynthesis,220,map00220,Arginine biosynthesis,Metabolism,Amino acid metabolism,115,885,0.000605078,0.007214388,ko00220,0.129943503,Addiciton.vs.Withdrawal
Bacterial invasion of epithelial cells,5100,organism:hsa+pathogen,Bacterial invasion of epithelial cells,Human Diseases,Infectious disease: bacterial,34,164,1.40E-05,0.000311025,ko05100,0.207317073,Addiciton.vs.Withdrawal
Bacterial secretion system,3070,map03070,Bacterial secretion system,Environmental Information Processing,Membrane transport,146,1193,0.001581485,0.01634201,ko03070,0.122380553,Addiciton.vs.Withdrawal
beta-Alanine metabolism,410,map00410,beta-Alanine metabolism,Metabolism,Metabolism of other amino acids,42,259,0.000559798,0.006941493,ko00410,0.162162162,Addiciton.vs.Withdrawal
Biofilm formation - Escherichia coli,2026,map02026,Biofilm formation - Escherichia coli,Cellular Processes,Cellular community - prokaryotes,118,975,0.005789106,0.04216322,ko02026,0.121025641,Addiciton.vs.Withdrawal
Chloroalkane and chloroalkene degradation,625,map00625,Chloroalkane and chloroalkene degradation,Metabolism,Xenobiotics biodegradation and metabolism,47,334,0.005360849,0.04154658,ko00625,0.140718563,Addiciton.vs.Withdrawal
Choline metabolism in cancer,5231,hsa05231,Choline metabolism in cancer,Human Diseases,Cancer: overview,36,99,6.10E-13,1.89E-10,ko05231,0.363636364,Addiciton.vs.Withdrawal
Cyanoamino acid metabolism,460,map00460,Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids,71,506,0.000843511,0.009684757,ko00460,0.140316206,Addiciton.vs.Withdrawal
Cysteine and methionine metabolism,270,map00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism,243,2162,0.00603139,0.04216322,ko00270,0.11239593,Addiciton.vs.Withdrawal
Degradation of aromatic compounds,1220,map01220,Degradation of aromatic compounds,Metabolism,Global and overview maps,71,516,0.00142335,0.01521512,ko01220,0.137596899,Addiciton.vs.Withdrawal
ECM-receptor interaction,4512,hsa04512,ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,7,20,0.00188846,0.01761463,ko04512,0.35,Addiciton.vs.Withdrawal
Focal adhesion,4510,hsa04510,Focal adhesion,Cellular Processes,Cellular community - eukaryotes,8,30,0.006120468,0.04216322,ko04510,0.266666667,Addiciton.vs.Withdrawal
Fructose and mannose metabolism,51,map00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism,162,1380,0.004813781,0.04033168,ko00051,0.117391304,Addiciton.vs.Withdrawal
Galactose metabolism,52,map00052,Galactose metabolism,Metabolism,Carbohydrate metabolism,275,2101,1.11E-07,6.87E-06,ko00052,0.130890052,Addiciton.vs.Withdrawal
Glycosphingolipid biosynthesis - ganglio series,604,map00604,Glycosphingolipid biosynthesis - ganglio series,Metabolism,Glycan biosynthesis and metabolism,26,159,0.005084875,0.04148188,ko00604,0.163522013,Addiciton.vs.Withdrawal
Glycosphingolipid biosynthesis - globo and isoglobo series,603,map00603,Glycosphingolipid biosynthesis - globo and isoglobo series,Metabolism,Glycan biosynthesis and metabolism,47,273,6.49E-05,0.001183789,ko00603,0.172161172,Addiciton.vs.Withdrawal
Glycosphingolipid biosynthesis - lacto and neolacto series,601,map00601,Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,Glycan biosynthesis and metabolism,4,5,0.000392978,0.005537413,ko00601,0.8,Addiciton.vs.Withdrawal
HIF-1 signaling pathway,4066,hsa04066,HIF-1 signaling pathway,Environmental Information Processing,Signal transduction,28,164,0.001988748,0.01761463,ko04066,0.170731707,Addiciton.vs.Withdrawal
Lysine biosynthesis,300,map00300,Lysine biosynthesis,Metabolism,Amino acid metabolism,125,884,9.21E-06,0.000238029,ko00300,0.141402715,Addiciton.vs.Withdrawal
Microbial metabolism in diverse environments,1120,map01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps,1131,10472,1.19E-05,0.000284635,ko01120,0.108002292,Addiciton.vs.Withdrawal
MicroRNAs in cancer,5206,hsa05206,MicroRNAs in cancer,Human Diseases,Cancer: overview,43,284,0.001958838,0.01761463,ko05206,0.151408451,Addiciton.vs.Withdrawal
Mismatch repair,3430,map03430,Mismatch repair,Genetic Information Processing,Replication and repair,282,2258,3.77E-06,0.000109143,ko03430,0.124889283,Addiciton.vs.Withdrawal
Monobactam biosynthesis,261,map00261,Monobactam biosynthesis,Metabolism,Biosynthesis of other secondary metabolites,47,336,0.005986995,0.04216322,ko00261,0.139880952,Addiciton.vs.Withdrawal
Naphthalene degradation,626,map00626,Naphthalene degradation,Metabolism,Xenobiotics biodegradation and metabolism,33,216,0.005272003,0.04154658,ko00626,0.152777778,Addiciton.vs.Withdrawal
Nitrogen metabolism,910,map00910,Nitrogen metabolism,Metabolism,Energy metabolism,123,877,1.58E-05,0.000326118,ko00910,0.140250855,Addiciton.vs.Withdrawal
Novobiocin biosynthesis,401,map00401,Novobiocin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites,34,168,2.38E-05,0.000462016,ko00401,0.202380952,Addiciton.vs.Withdrawal
Nucleotide excision repair,3420,map03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair,216,1566,5.26E-08,4.07E-06,ko03420,0.137931034,Addiciton.vs.Withdrawal
Other glycan degradation,511,map00511,Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism,140,996,3.87E-06,0.000109143,ko00511,0.140562249,Addiciton.vs.Withdrawal
Penicillin and cephalosporin biosynthesis,311,map00311,Penicillin and cephalosporin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites,8,25,0.001746118,0.01746118,ko00311,0.32,Addiciton.vs.Withdrawal
Peptidoglycan biosynthesis,550,map00550,Peptidoglycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,190,1405,1.18E-06,4.08E-05,ko00550,0.135231317,Addiciton.vs.Withdrawal
"Phenylalanine, tyrosine and tryptophan biosynthesis",400,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism,142,962,2.16E-07,1.02E-05,ko00400,0.147609148,Addiciton.vs.Withdrawal
Phosphotransferase system (PTS),2060,map02060,Phosphotransferase system (PTS),Environmental Information Processing,Membrane transport,139,938,2.30E-07,1.02E-05,ko02060,0.148187633,Addiciton.vs.Withdrawal
Propanoate metabolism,640,map00640,Propanoate metabolism,Metabolism,Carbohydrate metabolism,138,1116,0.001410549,0.01521512,ko00640,0.123655914,Addiciton.vs.Withdrawal
Protein digestion and absorption,4974,hsa04974,Protein digestion and absorption,Organismal Systems,Digestive system,13,61,0.004688889,0.04033168,ko04974,0.213114754,Addiciton.vs.Withdrawal
Sphingolipid metabolism,600,map00600,Sphingolipid metabolism,Metabolism,Lipid metabolism,95,680,0.000153628,0.002645822,ko00600,0.139705882,Addiciton.vs.Withdrawal
Staphylococcus aureus infection,5150,organism:hsa+pathogen,Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial,23,137,0.005847614,0.04216322,ko05150,0.167883212,Addiciton.vs.Withdrawal
Starch and sucrose metabolism,500,map00500,Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism,399,3284,7.54E-07,2.92E-05,ko00500,0.121498173,Addiciton.vs.Withdrawal
Toll and Imd signaling pathway,4624,dme04624,Toll and Imd signaling pathway,Organismal Systems,Immune system,5,8,0.000356753,0.005266355,ko04624,0.625,Addiciton.vs.Withdrawal
"Tropane, piperidine and pyridine alkaloid biosynthesis",960,map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",Metabolism,Biosynthesis of other secondary metabolites,35,194,0.000207243,0.003381327,ko00960,0.180412371,Addiciton.vs.Withdrawal
