label,Phylum
Bradyrhizobium,Proteobacteria
Paenochrobactrum,Proteobacteria
Pseudochrobactrum,Proteobacteria
Camelimonas,Proteobacteria
Bosea,Proteobacteria
Brevundimonas,Proteobacteria
Pseudomonas,Proteobacteria
Unclassified,Proteobacteria
Methylocaldum,Proteobacteria
Pseudofulvimonas,Proteobacteria
Luteimonas,Proteobacteria
Pseudoxanthomonas,Proteobacteria
Stenotrophomonas,Proteobacteria
Halomonas,Proteobacteria
Klebsiella,Proteobacteria
Escherichia,Proteobacteria
Aeromonas,Proteobacteria
Proteus,Proteobacteria
Morganella,Proteobacteria
Providencia,Proteobacteria
Succinivibrio,Proteobacteria
Parasutterella,Proteobacteria
Sutterella,Proteobacteria
Azoarcus,Proteobacteria
Schlegelella,Proteobacteria
Thauera,Proteobacteria
Acidovorax,Proteobacteria
Comamonas,Proteobacteria
Oxalobacter,Proteobacteria
Alcaligenes,Proteobacteria
Uruburuella,Proteobacteria
Neisseria,Proteobacteria
Eikenella,Proteobacteria
Haemophilus,Proteobacteria
Psychrobacter,Proteobacteria
Acinetobacter,Proteobacteria
Povalibacter,Proteobacteria
Solirubrobacter,Actinobacteria
Olsenella,Actinobacteria
Collinsella,Actinobacteria
Slackia,Actinobacteria
Cryptobacterium,Actinobacteria
Senegalimassilia,Actinobacteria
Eggerthella,Actinobacteria
Gordonibacter,Actinobacteria
Paraeggerthella,Actinobacteria
Asaccharobacter,Actinobacteria
Atopobium,Actinobacteria
Thermopolyspora,Actinobacteria
Sphaerisporangium,Actinobacteria
Thermobispora,Actinobacteria
Clavibacter,Actinobacteria
Leucobacter,Actinobacteria
Rothia,Actinobacteria
Corynebacterium,Actinobacteria
Dietzia,Actinobacteria
Kocuria,Actinobacteria
Bifidobacterium,Actinobacteria
Alloscardovia,Actinobacteria
Parascardovia,Actinobacteria
Scardovia,Actinobacteria
Actinomyces,Actinobacteria
Streptomyces,Actinobacteria
